ID, unit_forklifttruck
Discription, "A small truck with moving spikes at the front, for lifting and stabbing"
Cost, 450
Weight, 350
 134 
 92 
14, -4, -40, 2
-14, -4, -40, 2
14, -4, -70, 2
-14, -4, -70, 2
14, -9, -40, 2
-14, -9, -40, 2
14, -9, -70, 2
-14, -9, -70, 2
15, -104, -20, 1
-15, -104, -20, 1
15, -104, -30, 1
-15, -104, -30, 1
15, -4, -20, 1
-15, -4, -20, 1
15, -4, -30, 1
-15, -4, -30, 1
15, -49, -10, 1
-15, -49, -10, 1
15, -49, -20, 1
-15, -49, -20, 1
15, -89, 0, 1
-15, -89, 0, 1
15, -89, -10, 1
-15, -89, -10, 1
25, 0, 3, 4
-25, 0, 3, 4
25, 0, 35, 3
-25, 0, 35, 3
25, 0, 43, 3
-25, 0, 43, 3
25, 0, -5, 4
-25, 0, -5, 4
25, -104, -20, 1
-25, -104, -20, 1
25, -104, -30, 1
-25, -104, -30, 1
25, -13, -10, 4
-25, -13, -10, 4
25, -13, 30, 3
-25, -13, 30, 3
25, -13, 48, 3
-25, -13, 48, 3
25, -13, 8, 4
-25, -13, 8, 4
25, -18, 3, 4
-25, -18, 3, 4
25, -18, 35, 3
-25, -18, 35, 3
25, -18, 43, 3
-25, -18, 43, 3
25, -18, -5, 4
-25, -18, -5, 4
25, -4, -20, 1
-25, -4, -20, 1
25, -4, -30, 1
-25, -4, -30, 1
25, -4, -30, 2
-25, -4, -30, 2
25, -4, -40, 2
-25, -4, -40, 2
25, -4, -70, 2
-25, -4, -70, 2
25, -49, -10, 1
-25, -49, -10, 1
25, -49, -20, 1
-25, -49, -20, 1
25, -49, 25, 1
-25, -49, 25, 1
25, -49, 35, 1
-25, -49, 35, 1
25, -49, 50, 1
-25, -49, 50, 1
25, -5, -10, 4
-25, -5, -10, 4
25, -5, 30, 3
-25, -5, 30, 3
25, -5, 48, 3
-25, -5, 48, 3
25, -5, 8, 4
-25, -5, 8, 4
25, -89, 0, 1
-25, -89, 0, 1
25, -89, -10, 1
-25, -89, -10, 1
25, -89, 20, 1
-25, -89, 20, 1
25, -89, 30, 1
-25, -89, 30, 1
25, -9, -20, 1
-25, -9, -20, 1
25, -9, -30, 2
-25, -9, -30, 2
25, -9, -40, 2
-25, -9, -40, 2
25, -9, 60, 1
-25, -9, 60, 1
25, -9, -70, 2
-25, -9, -70, 2
25, -94, -10, 1
-25, -94, -10, 1
25, -94, 30, 1
-25, -94, 30, 1
35, 0, 3, 4
-35, 0, 3, 4
35, 0, 35, 3
-35, 0, 35, 3
35, 0, 43, 3
-35, 0, 43, 3
35, 0, -5, 4
-35, 0, -5, 4
35, -13, -10, 4
-35, -13, -10, 4
35, -13, 30, 3
-35, -13, 30, 3
35, -13, 48, 3
-35, -13, 48, 3
35, -13, 8, 4
-35, -13, 8, 4
35, -18, 3, 4
-35, -18, 3, 4
35, -18, 35, 3
-35, -18, 35, 3
35, -18, 43, 3
-35, -18, 43, 3
35, -18, -5, 4
-35, -18, -5, 4
35, -5, -10, 4
-35, -5, -10, 4
35, -5, 30, 3
-35, -5, 30, 3
35, -5, 48, 3
-35, -5, 48, 3
35, -5, 8, 4
-35, -5, 8, 4
 4 ,  94 ,  95 ,  71 ,  70 
 4 ,  64 ,  65 ,  89 ,  88 
 4 ,  70 ,  71 ,  65 ,  64 
 4 ,  95 ,  94 ,  88 ,  89 
 4 ,  64 ,  88 ,  94 ,  70 
 4 ,  71 ,  95 ,  89 ,  65 
